benchmark_id,cpu_time,wallclock_time,result
14696094,0.029682,0.0296601,unsat
14696095,1200.0,1200.0,starexec-unknown
14696096,0.028554,0.028527,unsat
14696097,0.02899,0.0289671,unsat
14696098,0.02853,0.028494,unsat
14696099,1200.0,1200.0,starexec-unknown
14696100,0.028337,0.0283031,unsat
14696101,0.03057,0.030544,sat
14696102,0.029225,0.0291719,unsat
14696103,0.040836,0.0407861,unsat
14696104,0.029197,0.0291611,unsat
14696107,0.029487,0.0294329,sat
14696109,0.036278,0.0362369,unsat
14696110,0.029984,0.029946,sat
14696111,0.028824,0.028782,sat
14696112,0.029131,0.029101,unsat
14696113,0.035122,0.0350901,unsat
14696115,0.02917,0.0291401,unsat
14696117,0.02948,0.0294361,unsat
14696118,0.028737,0.028709,unsat
14696119,0.029521,0.0294771,unsat
14696120,0.028762,0.028761,sat
14696122,0.028537,0.0284901,unsat
14696123,0.029383,0.029371,sat
14696124,0.029101,0.0290589,unsat
14696125,0.029029,0.0290069,sat
14696126,0.034523,0.0344619,unsat
14696127,0.029361,0.02932,unsat
14696128,0.028326,0.028312,unsat
14696129,0.029368,0.0293481,unsat
14696130,0.030645,0.0306121,sat
14696131,0.029644,0.029606,unsat
14696132,0.028999,0.0289781,unsat
14696133,0.030649,0.0306639,unsat
14696134,0.029631,0.029598,sat
14696135,1200.0,1200.0,starexec-unknown
14696138,0.029664,0.0295921,unsat
14696140,1200.0,1200.0,starexec-unknown
14696142,1200.0,1200.0,starexec-unknown
14696144,1200.0,1200.0,starexec-unknown
14696145,1200.0,1200.0,starexec-unknown
14696147,1200.0,1200.0,starexec-unknown
14696148,1200.0,1200.0,starexec-unknown
14696151,1200.0,1200.0,starexec-unknown
14696152,1200.0,1200.0,starexec-unknown
14696155,1200.0,1200.0,starexec-unknown
14696161,0.037289,0.037245,unsat
14696164,1200.0,1200.0,starexec-unknown
14696165,1200.0,1200.0,starexec-unknown
14696167,1200.0,1200.0,starexec-unknown
14696168,1200.0,1200.0,starexec-unknown
14696172,0.032168,0.032119,unsat
14696174,1200.0,1200.0,starexec-unknown
14696175,1200.0,1200.0,starexec-unknown
14696182,1200.0,1200.0,starexec-unknown
14696188,1200.0,1200.0,starexec-unknown
14696189,1200.0,1200.0,starexec-unknown
14696193,1200.0,1200.0,starexec-unknown
14696194,1200.0,1200.0,starexec-unknown
14696196,1200.0,1200.0,starexec-unknown
14696197,1200.0,1200.0,starexec-unknown
14696204,1200.0,1200.0,starexec-unknown
14696205,1200.0,1200.0,starexec-unknown
14696206,1200.0,1200.0,starexec-unknown
14696208,1200.0,1200.0,starexec-unknown
14696210,1200.0,1200.0,starexec-unknown
14696213,1200.0,1200.0,starexec-unknown
14696218,1200.0,1200.0,starexec-unknown
14696222,1200.0,1200.0,starexec-unknown
14696228,0.036764,0.036734,unsat
14696233,1200.0,1200.0,starexec-unknown
14696234,1200.0,1200.0,starexec-unknown
14696238,1200.0,1200.0,starexec-unknown
14696242,1200.0,1200.0,starexec-unknown
14696245,1200.0,1200.0,starexec-unknown
14696247,1200.0,1200.0,starexec-unknown
14696250,1200.0,1200.0,starexec-unknown
14696253,0.036594,0.036597,unsat
14696258,1200.0,1200.0,starexec-unknown
14696261,0.031296,0.0312719,unsat
14696262,0.03116,0.031335,unsat
14696263,1200.0,1200.0,starexec-unknown
14696264,0.030889,0.0308759,unsat
14696266,1200.0,1200.0,starexec-unknown
14696269,1200.0,1200.0,starexec-unknown
14696270,1200.0,1200.0,starexec-unknown
14696271,1200.0,1200.0,starexec-unknown
14696273,0.031767,0.0317429,unsat
14696276,1200.0,1200.0,starexec-unknown
14696277,1200.0,1200.0,starexec-unknown
14696278,1200.0,1200.0,starexec-unknown
14696279,1200.0,1200.0,starexec-unknown
14696280,1200.0,1200.0,starexec-unknown
14696282,0.037469,0.0374209,unsat
14696284,1200.0,1200.0,starexec-unknown
14696285,1200.0,1200.0,starexec-unknown
14696286,0.036509,0.0365169,unsat
14696288,1200.0,1200.0,starexec-unknown
14696291,1200.0,1200.0,starexec-unknown
14696292,1200.0,1200.0,starexec-unknown
14696293,0.08589,0.0858819,sat
14696294,0.142939,0.14611,sat
14696295,1200.0,1200.0,starexec-unknown
14696296,0.084505,0.084462,sat
14696297,0.115446,0.115431,unsat
14696298,62.2558,62.2609,sat
14696299,0.049612,0.0496771,sat
14696300,0.058193,0.058169,sat
14696301,0.032847,0.032803,unsat
14696302,0.102121,0.102072,sat
14696304,0.046442,0.0464219,unsat
14696305,0.160309,0.160284,unsat
14696306,0.050294,0.0502439,unsat
14696307,0.073579,0.07354,sat
14696308,1200.0,1200.0,starexec-unknown
14696309,1200.0,1200.0,starexec-unknown
14696310,0.151295,0.151276,starexec-unknown
14696311,0.384977,0.38493,sat
14696312,0.041636,0.04164,sat
14696313,0.194847,0.19479,unsat
14696314,0.235364,0.235332,sat
14696315,1200.0,1200.0,starexec-unknown
14696316,44.2828,44.2825,sat
14696317,0.073317,0.073948,sat
14696318,1200.0,1200.0,starexec-unknown
14696319,0.086021,0.0859779,sat
14696320,1200.0,1200.0,starexec-unknown
14696321,0.072565,0.0725289,unsat
14696322,0.040161,0.0401201,unsat
14696323,1200.0,1200.0,starexec-unknown
14696324,4.25331,4.25347,unsat
14696326,0.390784,0.390771,sat
14696327,0.05027,0.050236,sat
14696328,0.039139,0.0391031,sat
14696329,0.040015,0.0400071,sat
14696330,0.088134,0.088106,sat
14696331,0.044126,0.0440889,unsat
14696333,0.033249,0.033222,unsat
14696334,1200.0,1200.0,starexec-unknown
14696335,0.123015,0.122983,sat
14696336,0.072675,0.072646,sat
14696337,0.03239,0.03236,sat
14696338,0.031378,0.031365,unsat
14696339,1200.0,1200.0,starexec-unknown
14696340,0.07242,0.072354,sat
14696341,0.041265,0.0412399,unsat
14696342,0.179269,0.179271,sat
14696343,1200.0,1200.0,starexec-unknown
14696346,0.031986,0.032,sat
14696347,1200.0,1200.0,starexec-unknown
14696348,0.042629,0.042626,unsat
14696349,0.037966,0.0379299,unsat
14696350,1200.0,1200.0,starexec-unknown
14696351,0.044921,0.044876,unsat
14696352,0.051535,0.0515189,sat
14696353,0.104309,0.105655,unsat
14696354,0.034263,0.0342529,sat
14696355,0.048157,0.048102,sat
14696356,0.034902,0.0348601,sat
14696358,1200.0,1200.0,starexec-unknown
14696359,0.086596,0.086603,sat
14696360,0.048192,0.048165,sat
14696361,1200.0,1200.0,starexec-unknown
14696362,30.6284,30.6408,sat
14696363,0.035235,0.035173,unsat
14696365,0.082654,0.0826301,sat
14696366,1200.0,1200.0,starexec-unknown
14696367,0.03282,0.032782,unsat
14696368,0.118541,0.118517,unsat
14696369,14.6236,14.6254,sat
14696370,0.039008,0.03898,sat
14696374,0.402529,0.40257,unsat
14696375,1200.0,1200.0,starexec-unknown
14696376,0.083674,0.0836391,unsat
14696377,0.037232,0.0371909,sat
14696378,0.040397,0.040368,sat
14696379,0.073023,0.073021,sat
14696380,0.044988,0.044952,unsat
14696382,0.037051,0.0370399,sat
14696383,0.340833,0.340809,sat
14696384,0.085092,0.0850791,unsat
14696385,0.142728,0.142689,unsat
14696386,0.047419,0.0473839,sat
14696387,0.189596,0.189526,sat
14696388,274.189,274.183,sat
14696389,0.063458,0.0634129,unsat
14696390,18.6186,18.6242,sat
14696391,0.049772,0.0497301,unsat
14696392,0.032826,0.0328069,unsat
14696393,1200.0,1200.0,starexec-unknown
14696394,0.054146,0.0541061,unsat
14696395,1200.0,1200.0,starexec-unknown
14696396,1200.0,1200.0,starexec-unknown
14696398,19.1178,19.1197,sat
14696399,1200.0,1200.0,starexec-unknown
14696400,0.055344,0.0553201,unsat
14696401,0.035353,0.035342,sat
14696402,0.336654,0.336619,unsat
14696403,1200.0,1200.0,starexec-unknown
14696404,0.034865,0.0348511,unsat
14696406,0.060205,0.060173,sat
14696407,0.184887,0.187277,sat
14696408,62.0969,62.1003,sat
14696409,0.033259,0.0332179,unsat
14696410,0.03257,0.0325749,sat
14696411,0.338369,0.338351,sat
14696412,0.080796,0.0808989,unsat
14696413,1200.0,1200.0,starexec-unknown
14696414,0.03429,0.0342441,unsat
14696415,0.155153,0.155136,sat
14696416,0.158887,0.158848,unsat
14696417,0.06727,0.0672381,sat
14696418,0.032785,0.0327519,sat
14696419,0.044703,0.0446781,sat
14696420,0.04942,0.0493911,sat
14696421,0.419379,0.419468,sat
14696422,1200.0,1200.0,starexec-unknown
14696423,0.040595,0.040581,sat
14696424,1200.0,1200.0,starexec-unknown
14696425,0.584769,0.584782,unsat
14696428,0.039791,0.039744,sat
14696429,0.111696,0.111649,sat
14696430,0.27928,0.279217,sat
14696431,61.5745,61.5739,sat
14696432,0.033102,0.0331061,unsat
14696433,0.235588,0.235564,sat
14696434,62.374,62.3734,sat
14696435,0.067939,0.0678961,sat
14696436,0.032747,0.0326991,sat
14696437,43.8991,43.899,sat
14696438,1200.0,1200.0,starexec-unknown
14696439,0.10504,0.105016,sat
14696440,0.092336,0.0923181,sat
14696441,0.06438,0.064361,unsat
14696442,1200.0,1200.0,starexec-unknown
14696443,1200.0,1200.0,starexec-unknown
14696444,0.048548,0.048555,sat
14696445,0.374176,0.374138,sat
14696446,1200.0,1200.0,starexec-unknown
14696447,0.034639,0.0346531,unsat
14696448,0.039751,0.0397569,unsat
14696449,1200.0,1200.0,starexec-unknown
14696450,1200.0,1200.0,starexec-unknown
14696451,1200.0,1200.0,starexec-unknown
14696452,0.18915,0.189129,sat
14696453,4.4021,4.40183,sat
14696454,0.051453,0.0514291,sat
14696455,0.055216,0.0552001,sat
14696456,0.482328,0.482413,sat
14696457,0.049538,0.049542,sat
14696458,0.077493,0.0774539,unsat
14696459,1200.0,1200.0,starexec-unknown
14696460,0.282814,0.282826,sat
14696461,0.034278,0.0342391,sat
14696462,0.04069,0.040804,sat
14696463,20.4214,20.4216,sat
14696464,0.034771,0.034789,unsat
14696466,0.082518,0.082471,sat
14696467,0.045754,0.045688,unsat
14696468,0.04027,0.0402569,sat
14696469,13.2213,13.2229,sat
14696470,0.053597,0.0535531,sat
14696471,0.045165,0.0451359,sat
14696472,0.03802,0.0380301,unsat
14696473,1200.0,1200.0,starexec-unknown
14696474,1200.0,1200.0,starexec-unknown
14696475,0.068592,0.068552,sat
14696476,1200.0,1200.0,starexec-unknown
14696477,0.052369,0.0523391,sat
14696478,0.170054,0.170043,sat
14696479,0.073829,0.0737839,unsat
14696480,0.033674,0.0336469,sat
14696481,0.406823,0.406876,sat
14696482,1200.0,1200.0,starexec-unknown
14696483,1200.0,1200.0,starexec-unknown
14696484,1200.0,1200.0,starexec-unknown
14696485,1200.0,1200.0,starexec-unknown
14696486,1200.0,1200.0,starexec-unknown
14696487,1200.0,1200.0,starexec-unknown
14696488,1200.0,1200.0,starexec-unknown
14696489,1200.0,1200.0,starexec-unknown
14696490,1200.0,1200.0,starexec-unknown
14696491,1200.0,1200.0,starexec-unknown
14696492,1200.0,1200.0,starexec-unknown
14696493,1200.0,1200.0,starexec-unknown
14696494,1200.0,1200.0,starexec-unknown
14696495,1200.0,1200.0,starexec-unknown
14696496,1200.0,1200.0,starexec-unknown
14696497,1200.0,1200.0,starexec-unknown
14696498,1200.0,1200.0,starexec-unknown
14696499,1200.0,1200.0,starexec-unknown
14696500,1200.0,1200.0,starexec-unknown
14696501,1200.0,1200.0,starexec-unknown
14696503,1200.0,1200.0,starexec-unknown
14696504,1200.0,1200.0,starexec-unknown
14696505,1200.0,1200.0,starexec-unknown
14696506,0.032348,0.032339,sat
14696507,1200.0,1200.0,starexec-unknown
14696508,1200.0,1200.0,starexec-unknown
14696509,1200.0,1200.0,starexec-unknown
14700516,0.089183,0.089136,unsat
14700517,0.052535,0.0525031,sat
14700518,0.037219,0.0371899,unsat
14700519,0.038552,0.0385269,sat
14700520,10.3559,10.3559,sat
14700521,0.040718,0.040728,sat
14700522,1200.0,1200.0,starexec-unknown
14700523,1200.0,1200.0,starexec-unknown
14700524,1200.0,1200.0,starexec-unknown
14700525,1200.0,1200.0,starexec-unknown
14700526,1200.0,1200.0,starexec-unknown
14700527,64.1306,64.1381,sat
14700528,1200.0,1200.0,starexec-unknown
14700529,0.039349,0.0393381,sat
14700530,1200.0,1200.0,starexec-unknown
14700531,1200.0,1200.0,starexec-unknown
14700532,12.7093,12.7101,unsat
14700533,1200.0,1200.0,starexec-unknown
14700534,0.176842,0.176774,unsat
14700535,1200.0,1200.0,starexec-unknown
14700536,1200.0,1200.0,starexec-unknown
14700537,0.083678,0.0836649,sat
14700538,1200.0,1200.0,starexec-unknown
14700539,1200.0,1200.0,starexec-unknown
14700540,1200.0,1200.0,starexec-unknown
14700541,0.120247,0.1202,sat
14700542,1200.0,1200.0,starexec-unknown
14700543,1200.0,1200.0,starexec-unknown
14700544,1200.0,1200.0,starexec-unknown
14700545,1.71852,1.71875,sat
14700546,1200.0,1200.0,starexec-unknown
14700547,1200.0,1200.0,starexec-unknown
14700548,1200.0,1200.0,starexec-unknown
14700549,0.05412,0.0540819,unsat
14700550,0.101378,0.101348,sat
14700551,0.179697,0.179658,unsat
14700552,0.098752,0.0987071,sat
14700553,1200.0,1200.0,starexec-unknown
14700554,0.039709,0.0397161,sat
14700555,1200.0,1200.0,starexec-unknown
14700556,3.96776,3.96781,unsat
14700557,1200.0,1200.0,starexec-unknown
14700558,1200.0,1200.0,starexec-unknown
14700559,0.045749,0.0457239,unsat
14700560,1200.0,1200.0,starexec-unknown
14700561,0.038247,0.0382371,sat
14700562,0.040128,0.0400779,unsat
14700563,32.6304,32.6317,unsat
14700564,0.129969,0.129901,sat
14700565,7.38012,7.38023,unsat
14700566,1200.0,1200.0,starexec-unknown
14700567,0.04505,0.045,unsat
14700568,0.046856,0.046837,unsat
14700569,1200.0,1200.0,starexec-unknown
14700570,1200.0,1200.0,starexec-unknown
14700571,0.049202,0.0491821,sat
14700572,1200.0,1200.0,starexec-unknown
14700573,1200.0,1200.0,starexec-unknown
14700574,0.04404,0.0440161,sat
14700575,1200.0,1200.0,starexec-unknown
14700576,4.05683,4.0575,unsat
14700577,1200.0,1200.0,starexec-unknown
14700578,18.1243,18.1264,unsat
14700579,1200.0,1200.0,starexec-unknown
14700580,0.047721,0.0488711,sat
14700581,1200.0,1200.0,starexec-unknown
14700582,18.0484,18.0497,unsat
14700583,1200.0,1200.0,starexec-unknown
14700584,1200.0,1200.0,starexec-unknown
14700585,6.37151,6.37162,unsat
14700586,1200.0,1200.0,starexec-unknown
14700587,0.034134,0.034078,sat
14700588,1200.0,1200.0,starexec-unknown
14700589,1200.0,1200.0,starexec-unknown
14700590,1200.0,1200.0,starexec-unknown
14700591,1200.0,1200.0,starexec-unknown
14700592,1200.0,1200.0,starexec-unknown
14700593,1200.0,1200.0,starexec-unknown
14700594,1200.0,1200.0,starexec-unknown
14700595,4.26249,4.26261,unsat
14700596,0.040051,0.0400009,sat
14700597,1200.0,1200.0,starexec-unknown
14700598,1200.0,1200.0,starexec-unknown
14700599,1200.0,1200.0,starexec-unknown
14700600,1200.0,1200.0,starexec-unknown
14700601,1200.0,1200.0,starexec-unknown
14700602,0.056543,0.0565081,unsat
14700603,0.05151,0.051487,sat
14700604,1200.0,1200.0,starexec-unknown
14700605,1200.0,1200.0,starexec-unknown
14700606,0.118397,0.118438,sat
14700607,1200.0,1200.0,starexec-unknown
14700608,1200.0,1200.0,starexec-unknown
14700609,1200.0,1200.0,starexec-unknown
14700610,1200.0,1200.0,starexec-unknown
14700611,1200.0,1200.0,starexec-unknown
14700612,1200.0,1200.0,starexec-unknown
14700613,0.046192,0.046148,sat
